ALL,Big,1,2,3,4,5,res,index,new_class_symbol
商务住宅;住宅区;住宅小区|地名地址信息;门牌信息;楼栋号,商务住宅,住宅区,住宅小区|地名地址信息,门牌信息,楼栋号,,商务住宅,199,11
风景名胜;风景名胜;世界遗产|科教文化服务;博物馆;博物馆,风景名胜,风景名胜,世界遗产|科教文化服务,博物馆,博物馆,,旅游景点,200,12
政府机构及社会团体;政府机关;地市级政府及事业单位|科教文化服务;文化宫,政府机构及社会团体,政府机关,地市级政府及事业单位|科教文化服务,文化宫,,,政府机构,201,14
住宿服务;宾馆酒店;宾馆酒店|餐饮服务;中餐厅;综合酒楼,住宿服务,宾馆酒店,宾馆酒店|餐饮服务,中餐厅,综合酒楼,,酒店住宿,202,2
政府机构及社会团体;政府机关;区县级政府及事业单位|政府机构及社会团体,政府机构及社会团体,政府机关,区县级政府及事业单位|政府机构及社会团体,,,,政府机构,203,14
商务住宅;住宅区;住宅小区|地名地址信息;普通地名;村庄级地名,商务住宅,住宅区,住宅小区|地名地址信息,普通地名,村庄级地名,,商务住宅,204,11
医疗保健服务;专科医院;妇科医院|医疗保健服务;综合医院;综合医院|医疗保健服务,医疗保健服务,专科医院,妇科医院|医疗保健服务,综合医院,综合医院|医疗保健服务,,医疗保健,205,0
生活服务;物流速递;物流速递|公司企业;公司;公司,生活服务,物流速递,物流速递|公司企业,公司,公司,,生活服务,206,13
购物服务;家居建材市场;建材五金市场|商务住宅;楼宇;商务写字楼,购物服务,家居建材市场,建材五金市场|商务住宅,楼宇,商务写字楼,,购物消费,207,3
交通设施服务;火车站;货运火车站,交通设施服务,火车站,货运火车站,,,,交通设施,208,1
科教文化服务;图书馆;图书馆,科教文化服务,图书馆,图书馆,,,,科教文化,209,7
住宿服务;宾馆酒店;宾馆酒店|生活服务;生活服务场所;生活服务场所,住宿服务,宾馆酒店,宾馆酒店|生活服务,生活服务场所,生活服务场所,,酒店住宿,210,2
地名地址信息;交通地名;道路名|风景名胜;风景名胜相关;旅游景点,地名地址信息,交通地名,道路名|风景名胜,风景名胜相关,旅游景点,,旅游景点,211,12
公司企业;公司;公司|生活服务;自来水营业厅;自来水营业厅,公司企业,公司,公司|生活服务,自来水营业厅,自来水营业厅,,公司企业,212,5
公司企业;工厂;工厂|汽车维修;汽车维修;汽车维修,公司企业,工厂,工厂|汽车维修,汽车维修,汽车维修,,公司企业,213,5
医疗保健服务;专科医院;专科医院,医疗保健服务,专科医院,专科医院,,,,医疗保健,214,0
商务住宅;住宅区;住宅小区|商务住宅;住宅区;社区中心,商务住宅,住宅区,住宅小区|商务住宅,住宅区,社区中心,,商务住宅,215,11
商务住宅;住宅区;住宅小区|地名地址信息;热点地名;热点地名,商务住宅,住宅区,住宅小区|地名地址信息,热点地名,热点地名,,商务住宅,216,11
购物服务;花鸟鱼虫市场;花鸟鱼虫市场,购物服务,花鸟鱼虫市场,花鸟鱼虫市场,,,,购物消费,217,3
风景名胜;公园广场;公园|风景名胜;风景名胜;寺庙道观,风景名胜,公园广场,公园|风景名胜,风景名胜,寺庙道观,,旅游景点,218,12
生活服务;事务所;专利事务所|政府机构及社会团体;政府机关;省直辖市级政府及事业单位,生活服务,事务所,专利事务所|政府机构及社会团体,政府机关,省直辖市级政府及事业单位,,生活服务,219,13
风景名胜;公园广场;公园|购物服务;购物相关场所;购物相关场所,风景名胜,公园广场,公园|购物服务,购物相关场所,购物相关场所,,旅游景点,220,12
风景名胜;风景名胜;风景名胜|商务住宅;产业园区;产业园区,风景名胜,风景名胜,风景名胜|商务住宅,产业园区,产业园区,,旅游景点,221,12
医疗保健服务;综合医院;综合医院|医疗保健服务;专科医院;专科医院,医疗保健服务,综合医院,综合医院|医疗保健服务,专科医院,专科医院,,医疗保健,222,0
科教文化服务;学校;高等院校|科教文化服务;学校;职业技术学校,科教文化服务,学校,高等院校|科教文化服务,学校,职业技术学校,,科教文化,223,7
医疗保健服务;专科医院;精神病医院,医疗保健服务,专科医院,精神病医院,,,,医疗保健,224,0
住宿服务;宾馆酒店;经济型连锁酒店,住宿服务,宾馆酒店,经济型连锁酒店,,,,酒店住宿,225,2
购物服务;家居建材市场;家具城,购物服务,家居建材市场,家具城,,,,购物消费,226,3
医疗保健服务;专科医院;眼科医院,医疗保健服务,专科医院,眼科医院,,,,医疗保健,227,0
住宿服务;宾馆酒店;四星级宾馆|住宿服务;宾馆酒店;经济型连锁酒店,住宿服务,宾馆酒店,四星级宾馆|住宿服务,宾馆酒店,经济型连锁酒店,,酒店住宿,228,2
住宿服务;旅馆招待所;旅馆招待所|商务住宅;住宅区;住宅区,住宿服务,旅馆招待所,旅馆招待所|商务住宅,住宅区,住宅区,,酒店住宿,229,2
政府机构及社会团体;政府机关;乡镇级政府及事业单位,政府机构及社会团体,政府机关,乡镇级政府及事业单位,,,,政府机构,230,14
购物服务;购物相关场所;购物相关场所|公司企业;公司企业;公司企业,购物服务,购物相关场所,购物相关场所|公司企业,公司企业,公司企业,,购物消费,231,3
商务住宅;楼宇;商务写字楼|科教文化服务;学校;小学,商务住宅,楼宇,商务写字楼|科教文化服务,学校,小学,,商务住宅,232,11
科教文化服务;学校;高等院校|生活服务;生活服务场所;生活服务场所,科教文化服务,学校,高等院校|生活服务,生活服务场所,生活服务场所,,科教文化,233,7
风景名胜;风景名胜相关;旅游景点,风景名胜,风景名胜相关,旅游景点,,,,旅游景点,234,12
商务住宅;住宅区;住宅小区|商务住宅;住宅区;宿舍,商务住宅,住宅区,住宅小区|商务住宅,住宅区,宿舍,,商务住宅,235,11
科教文化服务;会展中心;会展中心,科教文化服务,会展中心,会展中心,,,,科教文化,236,7
购物服务;家居建材市场;家居建材市场|公司企业;公司企业;公司企业,购物服务,家居建材市场,家居建材市场|公司企业,公司企业,公司企业,,购物消费,237,3
公司企业;工厂;工厂,公司企业,工厂,工厂,,,,公司企业,238,5
政府机构及社会团体;政府机关;乡镇以下级政府及事业单位|政府机构及社会团体,政府机构及社会团体,政府机关,乡镇以下级政府及事业单位|政府机构及社会团体,,,,政府机构,239,14
购物服务;家居建材市场;家具建材综合市场,购物服务,家居建材市场,家具建材综合市场,,,,购物消费,240,3
医疗保健服务;专科医院;耳鼻喉医院,医疗保健服务,专科医院,耳鼻喉医院,,,,医疗保健,241,0
公司企业;农林牧渔基地;花卉苗圃基地,公司企业,农林牧渔基地,花卉苗圃基地,,,,公司企业,242,5
商务住宅;住宅区;住宅小区|餐饮服务;中餐厅;中餐厅,商务住宅,住宅区,住宅小区|餐饮服务,中餐厅,中餐厅,,商务住宅,243,11
交通设施服务;港口码头;人渡口,交通设施服务,港口码头,人渡口,,,,交通设施,244,1
生活服务;物流速递;物流速递|公司企业;公司企业;公司企业,生活服务,物流速递,物流速递|公司企业,公司企业,公司企业,,生活服务,245,13
科教文化服务;档案馆;档案馆,科教文化服务,档案馆,档案馆,,,,科教文化,246,7
体育休闲服务;体育休闲服务场所;体育休闲服务场所|住宿服务;宾馆酒店;宾馆酒店,体育休闲服务,体育休闲服务场所,体育休闲服务场所|住宿服务,宾馆酒店,宾馆酒店,,运动健身,247,6
医疗保健服务;专科医院;口腔医院,医疗保健服务,专科医院,口腔医院,,,,医疗保健,248,0
科教文化服务;天文馆;天文馆,科教文化服务,天文馆,天文馆,,,,科教文化,249,7
医疗保健服务;专科医院;整形美容|医疗保健服务;综合医院;综合医院,医疗保健服务,专科医院,整形美容|医疗保健服务,综合医院,综合医院,,医疗保健,250,0
风景名胜;风景名胜;风景名胜,风景名胜,风景名胜,风景名胜,,,,旅游景点,251,12
科教文化服务;学校;小学|科教文化服务;培训机构;培训机构,科教文化服务,学校,小学|科教文化服务,培训机构,培训机构,,科教文化,252,7
