id_C_20,name_C_254,type_C_100,addr_C_254,结构_C_50,面积_N_31_15,时间_C_20,装修_C_50,价格_N_31_15,gcj_lng_N_31_15,gcj_lat_N_31_15,wgs_lng_N_31_15,wgs_lat_N_31_15,bd_lng_N_31_15,bd_lat_N_31_15,gcj_shape_C_254,index,new_class,new_class_symbol
B000A8XDJN,吉祥幼儿园,科教文化服务;学校;幼儿园,北京市顺义区空港街道空港工业区空港吉祥花园13号楼,,,,,,116.553483,40.086342,116.547629527147,40.0852521392258,116.56001097567,40.0922807059867,"116.553365,40.086312;116.553058,40.086317;116.55306,40.086644;116.553125,40.086687;116.553768,40.086677;116.553804,40.085908;116.553368,40.085907;116.553365,40.086312",32,科教文化,7
B0FFH8SJ3D,宪法广场,风景名胜;公园广场;城市广场,北京市顺义区,,,,,,116.669161,40.137584,116.66321274475,40.136445338024,116.675658098009,40.1436001917267,"116.668902,40.138877;116.66746,40.13725;116.66821,40.136563;116.668927,40.135903;116.669085,40.136014;116.669107,40.136073;116.669142,40.136174;116.66917,40.136216;116.6695,40.136597;116.670223,40.137437;116.671186,40.138717;116.671184,40.138787;116.6709",33,旅游景点,12
B000A070FB,益麒麟家居建材广场,购物服务;家居建材市场;建材五金市场,北京市顺义区贯通西路18号,,,,,,116.643346,40.127489,116.637468183304,40.1263978233979,116.649738981422,40.1338375369559,"116.642969,40.127704;116.642951,40.128235;116.642876,40.12861;116.642774,40.128841;116.642804,40.128897;116.642983,40.128955;116.643084,40.128833;116.643733,40.129078;116.64483,40.129004;116.64465,40.126471;116.644239,40.126477;116.643967,40.126479;116.6",34,购物消费,3
B000A87WFV,东乌鸡村文化广场,风景名胜;公园广场;城市广场,北京市顺义区五吉北街与205乡道交叉口西150米,,,,,,116.73269,40.226431,116.726581544872,40.2251856629304,116.739191638254,40.2324865643774,"116.732435,40.22664;116.732796,40.226618;116.732791,40.226565;116.732982,40.226552;116.732931,40.226201;116.732407,40.226308;116.732435,40.22664",35,旅游景点,12
B000A8XDXY,黄港国际创意园,商务住宅;产业园区;产业园区,北京市朝阳区黄港公园1号,,,,,,116.475328,40.075685,116.469208479508,40.0743840885079,116.481907304067,40.0814407403828,"116.467679,40.075006;116.468123,40.07688;116.468308,40.076915;116.47375,40.076504;116.473873,40.076492;116.474227,40.079753;116.475761,40.079659;116.475949,40.080984;116.476003,40.081038;116.481273,40.080676;116.481405,40.07665;116.481505,40.072616;116.4",36,商务住宅,11
B0FFIVNSIB,金色童年幼儿园,科教文化服务;学校;幼儿园,北京市通州区东西垡路天天速递西50米,,,,,,116.698195,39.688829,116.692222195064,39.6876689195784,116.70479463528,39.6944740400458,"116.698115,39.688992;116.698068,39.688687;116.698272,39.688663;116.698322,39.688972;116.698115,39.688992",37,科教文化,7
B000A7Q46S,镇罗营镇人民政府,政府机构及社会团体;政府机关;乡镇级政府及事业单位,北京市平谷区镇罗营镇镇罗营东街5号,,,,,,117.149314,40.345372,117.142759339491,40.3439492555561,117.155828010961,40.3513909430952,"117.149084,40.344832;117.148623,40.345624;117.148619,40.345642;117.148617,40.345655;117.14862,40.345666;117.148624,40.345674;117.148634,40.345686;117.14865,40.345694;117.148973,40.345795;117.14948,40.345953;117.149493,40.345953;117.149507,40.345951;117.1",38,政府机构,14
B000A9PCU4,石榴庄小区,商务住宅;住宅区;住宅小区,北京市丰台区大红门,板楼,,,,,116.426149,39.841843,116.419931203701,39.8404548078819,116.432626885279,39.8479135754009,"116.424476,39.842371;116.427236,39.84235;116.427402,39.842274;116.427402,39.841182;116.425884,39.841189;116.425833,39.841277;116.425017,39.841778;116.424926,39.84173;116.424481,39.84201;116.424476,39.842371",39,商务住宅,11
B0FFFGYV6M,漷县卫生院,医疗保健服务;综合医院;卫生院,北京市通州区漷兴一街3号,,,,,,116.794444,39.776862,116.78839962674,39.7756774746186,116.800974613474,39.7827822586049,"116.794133,39.77632;116.793806,39.777335;116.794482,39.777458;116.795035,39.776825;116.795177,39.776481;116.794208,39.776312;116.794133,39.77632",40,医疗保健,0
B0FFKJJNCM,创意总社·1949,商务住宅;产业园区;产业园区,北京市朝阳区东坝路东50米,,,,,,116.525026,39.956023,116.519105413767,39.9548724745087,116.531406347065,39.9623591988209,"116.523875,39.954801;116.525058,39.956231;116.526246,39.957674;116.52682,39.958356;116.526842,39.958366;116.526865,39.958373;116.526901,39.958378;116.526968,39.958378;116.527215,39.958362;116.527231,39.958358;116.527244,39.958351;116.527256,39.958344;116",41,商务住宅,11
B000A7WCW0,北京市城市河湖管理处右安门橡胶坝管理站,政府机构及社会团体;政府机关;政府机关相关,北京市西城区右安门桥与右安门西街交叉口西北150米,,,,,,116.352973,39.86943,116.34678882369,39.8680745456616,116.359584970759,39.8751649000882,"116.353906,39.869533;116.353986,39.869495;116.354062,39.86943;116.354073,39.869311;116.353306,39.869257;116.352485,39.869198;116.352458,39.869451;116.352568,39.869489;116.353842,39.869579;116.353906,39.869533",42,政府机构,14
B000A0A6D6,嘉源五孔桥市场,购物服务;综合市场;蔬菜市场,北京市海淀区西四环中路11号,,,,,,116.27226,39.922576,116.266222564382,39.9213499442416,116.278632428497,39.928890551295,"116.271836,39.922898;116.271809,39.922871;116.271841,39.922419;116.272592,39.922099;116.272627,39.922106;116.272616,39.922924;116.271836,39.922898",43,购物消费,3
B000A84ICY,月坛南街19号院,商务住宅;住宅区;住宅小区,北京市西城区月坛南街19号,塔板结合,,,,,116.34854,39.914309,116.342359312019,39.9129590589455,116.355135085324,39.9199898518178,"116.347609,39.914324;116.347596,39.914073;116.348905,39.914039;116.348905,39.914216;116.349184,39.914218;116.349181,39.914763;116.348771,39.914762;116.348751,39.91432;116.347609,39.914324",44,商务住宅,11
B000A84CZ0,红北社区,商务住宅;住宅区;住宅小区,北京市朝阳区金台路东150米,,,,,,116.479862,39.919002,116.473778434209,39.9177209728562,116.486406757655,39.9248196597805,"116.481885,39.921611;116.481898,39.921306;116.48152,39.921299;116.481532,39.920678;116.481865,39.920682;116.481885,39.920603;116.48183,39.919311;116.481821,39.919262;116.481799,39.919231;116.481758,39.919211;116.480922,39.919205;116.480147,39.919175;116.",45,商务住宅,11
B000A70560,北京市第一七九中学,科教文化服务;学校;中学,北京市东城区左安浦园小区4号,,,,,,116.438029,39.873693,116.431827756173,39.8723185933307,116.444596388747,39.8795567954782,"116.43734,39.874123;116.438786,39.874047;116.438738,39.873331;116.438677,39.873264;116.43726,39.873344;116.43734,39.874123",46,科教文化,7
B000A7OMH8,常青藤嘉园,商务住宅;住宅区;住宅小区,北京市西城区马连道东街甲2号,,,,,,116.33313,39.880265,116.326987837343,39.8789450928529,116.339758234784,39.8859439082756,"116.332099,39.880516;116.332101,39.880952;116.332111,39.880972;116.33212,39.880979;116.332144,39.880983;116.334104,39.881005;116.33412,39.881003;116.334128,39.880999;116.33414,39.880989;116.334143,39.880982;116.334112,39.879563;116.334112,39.879552;116.3",47,商务住宅,11
B000A07DAE,高碑店乡人民政府,政府机构及社会团体;政府机关;乡镇级政府及事业单位,北京市朝阳区高碑店北路甲1号,,,,,,116.521533,39.911855,116.515605693963,39.9106965889458,116.527902644591,39.9181996694206,"116.522001,39.911553;116.521082,39.911458;116.521126,39.912221;116.521965,39.912212;116.522001,39.911553",48,政府机构,14
B0FFGCFQMM,北京新东方烹饪学校(朝阳校区),科教文化服务;学校;职业技术学校,北京市朝阳区豆各庄乡于南村临6号,,,,,,116.566424,39.879774,116.560620977321,39.8787151486484,116.573031163029,39.8855146368773,"116.565647,39.880076;116.565673,39.879507;116.565678,39.87949;116.565685,39.879481;116.565694,39.879474;116.56571,39.879471;116.567151,39.879471;116.567172,39.879474;116.567189,39.879479;116.5672,39.879486;116.567208,39.879504;116.567181,39.880048;116.56",49,科教文化,7
